sample_id,label,source_id,file_path,class_index,split
ds10_img002159_ann002159,1000,ds10,02_extracted/uang/1000/ds10_img002159_ann002159.png,0,train
ds10_img002162_ann002162,1000,ds10,02_extracted/uang/1000/ds10_img002162_ann002162.png,0,train
ds10_img002177_ann002177,1000,ds10,02_extracted/uang/1000/ds10_img002177_ann002177.png,0,train
ds10_img002186_ann002186,1000,ds10,02_extracted/uang/1000/ds10_img002186_ann002186.png,0,train
ds10_img002192_ann002192,1000,ds10,02_extracted/uang/1000/ds10_img002192_ann002192.png,0,train
ds10_img002215_ann002215,1000,ds10,02_extracted/uang/1000/ds10_img002215_ann002215.png,0,train
ds10_img002227_ann002227,1000,ds10,02_extracted/uang/1000/ds10_img002227_ann002227.png,0,train
ds10_img002237_ann002237,1000,ds10,02_extracted/uang/1000/ds10_img002237_ann002237.png,0,test
ds10_img002240_ann002240,1000,ds10,02_extracted/uang/1000/ds10_img002240_ann002240.png,0,train
ds10_img002243_ann002243,1000,ds10,02_extracted/uang/1000/ds10_img002243_ann002243.png,0,test
ds10_img002253_ann002253,1000,ds10,02_extracted/uang/1000/ds10_img002253_ann002253.png,0,test
ds10_img002261_ann002261,1000,ds10,02_extracted/uang/1000/ds10_img002261_ann002261.png,0,train
ds10_img002264_ann002264,1000,ds10,02_extracted/uang/1000/ds10_img002264_ann002264.png,0,train
ds10_img002290_ann002290,1000,ds10,02_extracted/uang/1000/ds10_img002290_ann002290.png,0,validation
ds10_img002296_ann002296,1000,ds10,02_extracted/uang/1000/ds10_img002296_ann002296.png,0,train
ds10_img002299_ann002299,1000,ds10,02_extracted/uang/1000/ds10_img002299_ann002299.png,0,train
ds10_img002305_ann002305,1000,ds10,02_extracted/uang/1000/ds10_img002305_ann002305.png,0,test
ds10_img002313_ann002313,1000,ds10,02_extracted/uang/1000/ds10_img002313_ann002313.png,0,train
ds10_img002322_ann002322,1000,ds10,02_extracted/uang/1000/ds10_img002322_ann002322.png,0,train
ds10_img002341_ann002341,1000,ds10,02_extracted/uang/1000/ds10_img002341_ann002341.png,0,train
ds10_img002345_ann002345,1000,ds10,02_extracted/uang/1000/ds10_img002345_ann002345.png,0,train
ds10_img002356_ann002356,1000,ds10,02_extracted/uang/1000/ds10_img002356_ann002356.png,0,train
ds10_img002359_ann002359,1000,ds10,02_extracted/uang/1000/ds10_img002359_ann002359.png,0,train
ds10_img002378_ann002378,1000,ds10,02_extracted/uang/1000/ds10_img002378_ann002378.png,0,train
ds10_img002396_ann002396,1000,ds10,02_extracted/uang/1000/ds10_img002396_ann002396.png,0,train
ds10_img002404_ann002404,1000,ds10,02_extracted/uang/1000/ds10_img002404_ann002404.png,0,train
ds10_img002416_ann002416,1000,ds10,02_extracted/uang/1000/ds10_img002416_ann002416.png,0,train
ds10_img002419_ann002419,1000,ds10,02_extracted/uang/1000/ds10_img002419_ann002419.png,0,train
ds10_img002421_ann002421,1000,ds10,02_extracted/uang/1000/ds10_img002421_ann002421.png,0,train
ds10_img002426_ann002426,1000,ds10,02_extracted/uang/1000/ds10_img002426_ann002426.png,0,train
ds10_img002435_ann002435,1000,ds10,02_extracted/uang/1000/ds10_img002435_ann002435.png,0,validation
ds10_img002441_ann002441,1000,ds10,02_extracted/uang/1000/ds10_img002441_ann002441.png,0,validation
ds10_img002443_ann002443,1000,ds10,02_extracted/uang/1000/ds10_img002443_ann002443.png,0,train
ds10_img002452_ann002452,1000,ds10,02_extracted/uang/1000/ds10_img002452_ann002452.png,0,train
ds10_img002454_ann002454,1000,ds10,02_extracted/uang/1000/ds10_img002454_ann002454.png,0,train
ds10_img002456_ann002456,1000,ds10,02_extracted/uang/1000/ds10_img002456_ann002456.png,0,train
ds10_img002459_ann002459,1000,ds10,02_extracted/uang/1000/ds10_img002459_ann002459.png,0,train
ds10_img002486_ann002486,1000,ds10,02_extracted/uang/1000/ds10_img002486_ann002486.png,0,test
