sample_id,keep_sample_id,label,source_id,sha256
ds1_img000218_ann000218,ds1_img000088_ann000088,1000,ds1,01de74491f7bc58d91a16f793643f3990615c06a71e8521723b6eea1e0acafc9
ds1_img000266_ann000266,ds1_img000173_ann000173,1000,ds1,aa43d671264053413ded9d8687c5f0cbbcbd66bebcea2d7a01f7d07ca03b2b80
ds1_img000291_ann000291,ds1_img000026_ann000026,1000,ds1,a1c131003e0028fa3756dfa836ecb080f0fa3e0e6a999f14ba8fd4457392d772
ds1_img000401_ann000401,ds1_img000173_ann000173,1000,ds1,aa43d671264053413ded9d8687c5f0cbbcbd66bebcea2d7a01f7d07ca03b2b80
ds1_img000430_ann000430,ds1_img000170_ann000170,1000,ds1,e077d80ff501445c4b2006ab43d5ff9fc0cfc34fdc03677ce576a4c23aa78782
ds1_img000440_ann000440,ds1_img000001_ann000001,1000,ds1,d8e1d2f5dfd4ae1abde3e9ec094afaebef3a46a3b45e65ea9ff179b23977d2b1
ds1_img000472_ann000472,ds1_img000406_ann000406,1000,ds1,b5d25342d630ab3887de616dbcb5616addf8bcc6c50156c73718067f42ff4138
ds1_img000531_ann000531,ds1_img000185_ann000185,1000,ds1,85008f1023acd5dafe33862a88741caa85fef18f11cd92a2d0981a15ae943bab
ds1_img000627_ann000627,ds1_img000015_ann000015,1000,ds1,fc5568dec461eaf345b6fbd036a9a2e5f299c5308af4878cffc0daf6e5421dcf
ds1_img000716_ann000716,ds1_img000578_ann000578,1000,ds1,cb6d44e9483eeed34f6e0661cdb7a811b59f58c20d2f77d68ddca4d93ec3aa37
ds1_img000736_ann000736,ds1_img000575_ann000575,1000,ds1,fa9fb8a06557e187a8117d022f7ae7be084aebab3efd859c1a9faeda79f0e3f0
ds1_img000740_ann000740,ds1_img000255_ann000255,1000,ds1,d606d0fc36e436f36bf0262ca5f89395486efe4973495d724b8ca0a7b06dddc9
ds1_img000752_ann000752,ds1_img000265_ann000265,1000,ds1,0e81f4e0c462e3ac672963d9be48e6d2c0c32fd75079b31580c0ec62de57fe8f
ds1_img000796_ann000796,ds1_img000068_ann000068,1000,ds1,7e08e1605122ab398a2a7be8816e36dc518ca4470a7a7d421e08665f188c51fe
ds1_img000814_ann000814,ds1_img000350_ann000350,1000,ds1,cdb191091661cd6bf6bd9bac6957118d973602beebd4fa7eb01524267b2fb884
ds1_img000830_ann000830,ds1_img000327_ann000327,1000,ds1,57a618a38be1e41eada1dd529a561e0d1b6f91b231ad252705a82674138e9723
ds1_img000859_ann000859,ds1_img000194_ann000194,1000,ds1,b2703c0a5a80ae9b8327482f759425438b0891b1ebc957011341b3eb61285517
ds1_img000877_ann000877,ds1_img000532_ann000532,1000,ds1,b7129951570189d23c7858bc16cbcf75818c460b9c665205f3a8e9d1fc179845
ds1_img000879_ann000879,ds1_img000512_ann000512,1000,ds1,0d698c419951fec5b6949679a384e98efa15d50aae6539adf3cc8e9e2b40920a
ds1_img000927_ann000927,ds1_img000887_ann000887,1000,ds1,1943ce92a355a2c827710757b4608b4011de1c12b06c6c15e847f8462aa01bff
ds1_img000946_ann000946,ds1_img000210_ann000210,1000,ds1,c5ee9ce2f1a69cbb133f0321a986d1cbf8a47f742046c16fd75e3eef99e06000
ds1_img000954_ann000954,ds1_img000620_ann000620,1000,ds1,40f9e69628903204b0f376242f5745a76df07e9104fbbfe1b6ae21e4668a29f9
ds1_img000970_ann000970,ds1_img000216_ann000216,1000,ds1,10422add672dfa185319423240f6ba79059dc688bf5172e68fe6f2f82b00f430
ds1_img000983_ann000983,ds1_img000042_ann000042,1000,ds1,a0429351a51c33744dd53e93209211ca67a4544cf4373e520dcb8e217486e1c5
ds1_img001019_ann001019,ds1_img000369_ann000369,1000,ds1,6fe1b12910417b371b13efe30ae4a91dff5329b2254eb898615d5e926a33852b
ds1_img001022_ann001022,ds1_img000428_ann000428,1000,ds1,d5240a54fb3bf6ce37aac7b57ca11df858c582fd36db40f02b1e94e9afbd367d
ds1_img001036_ann001036,ds1_img000646_ann000646,1000,ds1,33ef7cd40db624563db0038b0663574fc0a9587a07b67f494db04b39039eb6f7
ds1_img001066_ann001066,ds1_img000318_ann000318,1000,ds1,c9c1a3be3ce6d2ff1722e03bc33f56f36586ebbc7abef97bf9bce908d4fec7d9
ds1_img001089_ann001089,ds1_img000536_ann000536,1000,ds1,c5a132e7d1cd0ef2e9fac118d76b4bed42de246a1614694bd6daee0a768e0dc3
ds1_img001091_ann001091,ds1_img000074_ann000074,1000,ds1,db058e6e210831d34b976f3417418824c23ebc2fe107b25608e8502d4356b166
ds1_img001094_ann001094,ds1_img000231_ann000231,1000,ds1,095c9cbaf3d5619476d6a99fa610c8d7a01b679622fd30f7f9d0efcf7b218c62
ds1_img001162_ann001162,ds1_img000639_ann000639,1000,ds1,54ea82115355c72c8d92769b632aabd4cece37da7d0c941972a2e0244575727f
ds1_img001172_ann001172,ds1_img000543_ann000543,1000,ds1,acb3394dc87759b8044c30bff51dd4114f4c7a189be2f24a45c8f1024480f321
ds1_img001181_ann001181,ds1_img000382_ann000382,1000,ds1,1e93928e8220c58075512431a3d546c0e797b9eba224e7c5fe552a90072e46f7
ds1_img001209_ann001209,ds1_img001164_ann001164,1000,ds1,c9e3ddd770216623ea47458e5edc95bf5b5b49df0f929ae6fe46545e0b1c5965
ds1_img001230_ann001230,ds1_img000173_ann000173,1000,ds1,aa43d671264053413ded9d8687c5f0cbbcbd66bebcea2d7a01f7d07ca03b2b80
ds1_img001282_ann001282,ds1_img000651_ann000651,1000,ds1,ff54d2d8c0972196360437d9603e74a0d4d7a3e6b125aa40fc7c8d051398d0b8
ds1_img001311_ann001311,ds1_img001038_ann001038,1000,ds1,7f3edf690587e09986cc2297d035d78125195faa62ebe71a3dce5a3e4625bc7b
ds1_img001312_ann001312,ds1_img000552_ann000552,1000,ds1,b814f0932f11f3dc2c4d9c5a12985570819e8fdd4f76517025f4391311aee55e
ds1_img001313_ann001313,ds1_img000819_ann000819,1000,ds1,0222f8d8df342518fbd47341c6b58ed9154858f4f92b11a48ff3eb182eccc66f
ds1_img001317_ann001317,ds1_img000228_ann000228,1000,ds1,5d1a8fe2efcf45cc0036064cd6370e37f5b9bbf9e0b098dc5bd29ae0b1ba579e
ds1_img001321_ann001321,ds1_img000151_ann000151,1000,ds1,378c6dd5dccc0d1b3a53a9c77b0e6d7962432fa7a100885af0b25b9d94ac5e85
ds1_img001352_ann001352,ds1_img001023_ann001023,1000,ds1,2a8cf61940cbf6c07c2631bee793c394134f4c7cac2a2b92798357fd80311499
ds1_img001358_ann001358,ds1_img000601_ann000601,1000,ds1,d64c64bf371f3c41a28a919bd45c15c88b0ea89b7a5e7e9087f7e7473326de8e
ds1_img001367_ann001367,ds1_img000923_ann000923,1000,ds1,0faef8117c6af4ba5adc4f85074a8f993bd96388faab58a2ca97611bc044c0d2
ds1_img001379_ann001379,ds1_img000367_ann000367,1000,ds1,ef5be550cc92e35a51bf6160d68249a2d683b9a720bf84ebd62c6e57c12fdb59
ds1_img001380_ann001380,ds1_img000229_ann000229,1000,ds1,09bce00f41af48ed316c5eb2c2cfaa4460b4282aa27896607445604547898f06
ds1_img001390_ann001390,ds1_img000100_ann000100,1000,ds1,2abf097350661523a1a21c9bf966d4f5d9892f4bff3fa1f393251abf91602476
ds1_img001400_ann001400,ds1_img000920_ann000920,1000,ds1,2337c0315b53933e6ee67feaca4ab983f9bbd979acf4c006a9061df8e05ea18d
ds1_img001409_ann001409,ds1_img000979_ann000979,1000,ds1,4ad2a81152645490487c8b3d0906c4c6ddf47ce745c4736c28dbd8ae29492462
ds1_img001432_ann001432,ds1_img000490_ann000490,1000,ds1,b31612fbeab41a83c70c5cbcb3f01ace19690ea1629a11cfea62e4075ca3fdef
ds1_img001438_ann001438,ds1_img000882_ann000882,1000,ds1,8b2a5cd9942788b32d9100fd79f166045ead9fca3278a93f2cf4ddd3caa377e5
ds1_img001456_ann001456,ds1_img000998_ann000998,1000,ds1,9e5f0649d175245e6993fe23b001f92c3aafb1110f74d07af632d12245a62905
ds1_img001460_ann001460,ds1_img000536_ann000536,1000,ds1,c5a132e7d1cd0ef2e9fac118d76b4bed42de246a1614694bd6daee0a768e0dc3
ds1_img001461_ann001461,ds1_img000471_ann000471,1000,ds1,085e11fc0f5b103c0b6d9b3e7c39f22739503e6fcbc65ea12c53c11e12322932
ds1_img001467_ann001467,ds1_img000038_ann000038,1000,ds1,f888613493ec74e6af57d4dc255cf6ba708a7f91bd995fcff209d95cd5cb1981
ds1_img001480_ann001480,ds1_img000871_ann000871,1000,ds1,28fbcc821d62d7d2195d632a756cde089b58d3a3e5cedae8f9b45beaa98299c6
ds1_img001492_ann001492,ds1_img000359_ann000359,1000,ds1,498605a25572eba41d2d4ddf378fc0b6d8b38af3564807bbd9cb00ff6f6ec217
ds1_img001507_ann001507,ds1_img000841_ann000841,1000,ds1,20e13bb44a49db7282c77ae750c59735289d6c7ea636c44eaa63d1ebbe8caa1e
ds1_img001524_ann001524,ds1_img001472_ann001472,1000,ds1,0c4c125fe359f9b139755e83229d78ae2e745710d35bd230e142f53670386e1f
ds1_img001534_ann001534,ds1_img000704_ann000704,1000,ds1,d05cb1682553ad589ebfebad3381308ffeeeadd76c3d738aa3f6c5657297412c
ds1_img001540_ann001540,ds1_img000801_ann000801,1000,ds1,f1950c8710f3c74cef93654b9c13309370e6bdb5146c862b38518f5babdeba7e
ds1_img001622_ann001622,ds1_img000257_ann000257,1000,ds1,1798109e43c95ff72301456c733c6d589433f7b2779cffbb058e7d962dcca457
ds1_img001655_ann001655,ds1_img000204_ann000204,1000,ds1,f67b315edb12864550668b769f6dd975c91abfd43f7b79bc5f176e314810b258
ds1_img001657_ann001657,ds1_img000659_ann000659,1000,ds1,bf09ece9c7a1608c7accf5807105a5c6fe9bc2b0ed470ab19917168dab806007
ds1_img001665_ann001665,ds1_img000496_ann000496,1000,ds1,4473b38fe49b515fb9eecc47a599179e9944cf2db801b35ea5e5d758a3204a80
ds1_img001667_ann001667,ds1_img001577_ann001577,1000,ds1,5f825486eba5b2686df485029c442d0cae9caee4f1da02e1d926db206e9e1492
ds1_img001671_ann001671,ds1_img001444_ann001444,1000,ds1,4be70b2118d9f1fcdebdf475d07ddbef482b8e1f8a304c18501f11a92ac39583
ds1_img001673_ann001673,ds1_img000700_ann000700,1000,ds1,6b76c3e06f6f22768829bb8d544185e297928bd1d78cefacb957d4ef90b857b7
ds1_img001692_ann001692,ds1_img000419_ann000419,1000,ds1,85dee47f34579fe8dd7d5b8e6542c3e50e7077f069cd67ef3d635d1df9dc9815
ds1_img001701_ann001701,ds1_img000308_ann000308,1000,ds1,7f5b39c935da8496143e0240ef683374e8061bce0732ac1bcc9eef3d7eb6d598
ds1_img001708_ann001708,ds1_img001529_ann001529,1000,ds1,2e0a64e280a6e71ec9518ba599046892cb901d9a382e70003a102d6c23da63d7
ds1_img001711_ann001711,ds1_img000174_ann000174,1000,ds1,b9d6c4d3b81efae9b24a805b72b738ad9dd274afe4b93f8ae762026ef37c1488
ds1_img001722_ann001722,ds1_img000130_ann000130,1000,ds1,8a51b1d5905ced8cd5aedc70344c6e00b796cbb9bdf22ef6249876742b16caf0
ds1_img001751_ann001751,ds1_img000374_ann000374,1000,ds1,9c5b46c06804d14b1d6119efc36259668b730b4db67a51090a5625d6181015e4
ds1_img001752_ann001752,ds1_img001471_ann001471,1000,ds1,d83f8050035949a1e37090126af0a291271b78ca05d0ca90514502fc5c38e239
