epoch,accuracy,learning_rate,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
0,0.6692562699317932,0.0010000000474974,0.966977834701538,0.656740442253083,0.7649611830711365,0.711344838142395,0.7458280402373325
1,0.7717068195343018,0.0010000000474974,0.6575716733932495,0.7590478070347451,0.7898584008216858,0.6344610452651978,0.7814735948616938
2,0.7879298329353333,0.0010000000474974,0.6043063402175903,0.7761182043717083,0.790772020816803,0.6212179660797119,0.770919715203193
3,0.791614294052124,0.0010000000474974,0.5847384333610535,0.7800143423566122,0.7969392538070679,0.5986835360527039,0.7804540766310679
4,0.7964698076248169,0.0010000000474974,0.5706795454025269,0.7845815374719328,0.7809501886367798,0.6365416049957275,0.760273319615126
5,0.7989832162857056,0.0010000000474974,0.5594576001167297,0.7874197867024901,0.8069894909858704,0.5743795037269592,0.7993415915157545
6,0.803638756275177,0.0010000000474974,0.5495773553848267,0.7927618112756868,0.7889447212219238,0.6105077266693115,0.7722608129470279
7,0.8047811985015869,0.0010000000474974,0.5490641593933105,0.7939389178055067,0.8250342607498169,0.5344569683074951,0.8178557740337324
8,0.7994687557220459,0.0010000000474974,0.5495704412460327,0.7884811568262962,0.8001370429992676,0.5790398120880127,0.7887686568577392
9,0.8024106025695801,0.0010000000474974,0.546827495098114,0.7913369700557491,0.8063042759895325,0.5635335445404053,0.7887292483739744
10,0.802781879901886,0.0010000000474974,0.5442191958427429,0.7917212434016627,0.8200091123580933,0.5502500534057617,0.8083440744289179
11,0.8063806891441345,0.0002000000094994,0.5323339700698853,0.79559877003837,0.8156692385673523,0.5523374080657959,0.80317234925068
12,0.8085228204727173,0.0002000000094994,0.533854603767395,0.7977691004200336,0.8095020651817322,0.5708345770835876,0.7983098223784721
13,0.8100365400314331,0.0002000000094994,0.5259953737258911,0.7994110083343431,0.8170397281646729,0.550535261631012,0.8050677214618882
