epoch,accuracy,learning_rate,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
0,0.8242888450622559,9.999999747378752e-06,0.4862987697124481,0.8136324657856155,0.8359981775283813,0.4846726059913635,0.8276027554538948
1,0.8415971398353577,9.999999747378752e-06,0.4307815432548523,0.8313920857855063,0.8407948613166809,0.45468294620513916,0.8311553882157579
2,0.8535359501838684,9.999999747378752e-06,0.39199206233024597,0.8435806313778631,0.8483325839042664,0.4380356967449188,0.8415081585307322
3,0.8632754683494568,9.999999747378752e-06,0.36738577485084534,0.8543954892764298,0.86112380027771,0.4013429582118988,0.8538207097228052
4,0.867988109588623,9.999999747378752e-06,0.3484249711036682,0.8585364045628621,0.8622658848762512,0.3878987729549408,0.855050215510252
5,0.8787844181060791,9.999999747378752e-06,0.32132455706596375,0.8701484352278993,0.8698035478591919,0.3749702274799347,0.8628472284667706
6,0.8851251006126404,9.999999747378752e-06,0.303678959608078,0.877283101999792,0.8755139112472534,0.3565247356891632,0.8688670658699155
7,0.8834114074707031,9.999999747378752e-06,0.3024541735649109,0.8751473405871579,0.8773412704467773,0.35248899459838867,0.8709873776654578
8,0.8889809250831604,9.999999747378752e-06,0.28995469212532043,0.8813802722081823,0.8787117600440979,0.34524232149124146,0.8722653594396955
9,0.8943219184875488,9.999999747378752e-06,0.2768635153770447,0.886883756160844,0.883965253829956,0.32848426699638367,0.8776053334216823
10,0.897435188293457,9.999999747378752e-06,0.26607146859169006,0.8902999297864918,0.8862494230270386,0.3248441815376282,0.8801598158278008
11,0.90120530128479,9.999999747378752e-06,0.2559487223625183,0.8942791259490461,0.8910461664199829,0.31817030906677246,0.8852036785437811
12,0.9058608412742615,9.999999747378752e-06,0.24493658542633057,0.8993458246712873,0.8928734660148621,0.31292274594306946,0.8865582161322099
13,0.9082028865814209,9.999999747378752e-06,0.23845987021923065,0.901735971610693,0.8947007656097412,0.3044346272945404,0.8883555872618782
14,0.9125728607177734,9.999999747378752e-06,0.22691400349140167,0.906584349935692,0.8985838294029236,0.3016092777252197,0.8924077832544633
15,0.917085587978363,9.999999747378752e-06,0.21988852322101593,0.9113621403631325,0.8976701498031616,0.2991642653942108,0.8915147685090885
16,0.9188563823699951,9.999999747378752e-06,0.21205003559589386,0.9134876586058976,0.8983554244041443,0.3024950325489044,0.892614099970109
17,0.9225979447364807,9.999999747378752e-06,0.20192548632621765,0.9177334405849251,0.8997259140014648,0.2937428653240204,0.8937013656745323
18,0.9240260720252991,9.999999747378752e-06,0.19852101802825928,0.9190548288692717,0.9020100235939026,0.29090332984924316,0.8964150831302573
19,0.925853967666626,9.999999747378752e-06,0.19221268594264984,0.9209041451522442,0.9072635769844055,0.28464385867118835,0.9028911812809257
